age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
34,1,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,2,3,1,1,3,3,3,0,1,0,2,6,1,Transformation Digitale,1.5,1,3
53,0,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,3,3,5,3,4,2,3,0,0,1,3,5,3,Autre,1.5,4,8
32,0,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,2,1,1,1,2,3,4,1,1,0,5,16,1,Infra & Cloud,2.0,6,7
42,1,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,3,3,2,2,4,3,3,0,0,1,2,8,4,Marketing,1.5,4,2
44,0,10248,Marié(e),Consulting,Manager,3,24,22,6,1,2,3,4,4,3,3,0,0,1,4,7,4,Transformation Digitale,1.5,5,17
46,0,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,2,3,5,1,4,2,3,0,0,0,2,2,4,Marketing,1.5,2,1
33,1,2496,Célibataire,Consulting,Consultant,4,7,1,1,3,3,1,4,4,3,3,0,0,0,3,2,3,Transformation Digitale,1.5,0,0
44,1,6465,Marié(e),Consulting,Manager,2,9,4,2,4,3,2,4,4,4,3,1,0,0,5,10,4,Autre,1.5,1,3
30,1,2206,Célibataire,Consulting,Consultant,1,10,10,0,4,2,1,3,1,3,3,0,0,0,5,9,2,Transformation Digitale,1.5,1,8
39,1,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,4,3,2,4,3,4,3,0,1,1,6,5,3,Entrepreunariat,1.5,0,0
24,1,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,2,3,1,4,1,2,3,1,1,1,2,1,3,Transformation Digitale,1.5,2,0
43,0,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,4,4,1,3,4,2,3,0,0,2,3,2,2,Transformation Digitale,1.5,1,4
50,1,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,2,1,3,3,3,3,1,1,0,2,3,2,Marketing,1.5,0,2
35,0,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,4,3,1,4,1,3,3,0,0,0,3,2,3,Marketing,1.5,2,2
36,0,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,2,2,1,1,4,4,3,1,0,1,3,5,4,Infra & Cloud,1.5,0,0
33,0,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,3,4,2,1,1,3,3,0,0,2,3,1,3,Infra & Cloud,2.0,1,3
35,1,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,3,3,1,4,3,3,3,0,0,1,3,4,2,Autre,1.5,0,0
27,0,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,1,4,3,3,0,0,1,6,2,4,Infra & Cloud,1.5,0,0
26,1,2293,Célibataire,Consulting,Consultant,1,1,1,0,1,1,1,3,3,2,3,0,1,0,2,25,3,Infra & Cloud,1.5,0,1
27,1,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,4,3,3,3,4,3,3,0,0,0,0,8,3,Infra & Cloud,2.0,1,7
30,0,4011,Célibataire,Consulting,Consultant,1,12,12,8,3,3,2,4,4,3,4,0,0,0,2,1,2,Transformation Digitale,2.0,3,7
41,0,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,2,3,5,3,4,3,3,0,1,0,0,12,3,Entrepreunariat,1.5,15,8
34,1,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,2,3,2,3,3,3,4,0,0,0,2,23,4,Marketing,1.0,8,7
37,1,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,2,3,1,2,1,3,4,0,0,0,1,19,2,Infra & Cloud,1.5,0,0
46,1,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,1,3,2,4,3,3,4,1,0,0,4,5,4,Marketing,2.0,0,8
35,1,2269,Marié(e),Consulting,Consultant,1,1,1,0,4,4,1,4,4,3,3,0,0,0,2,8,1,Infra & Cloud,1.5,0,1
48,1,5381,Célibataire,Consulting,Consultant,9,23,1,0,1,2,3,3,4,3,3,1,1,0,2,1,2,Infra & Cloud,1.5,0,0
28,1,3441,Célibataire,Consulting,Consultant,1,2,2,2,3,3,1,3,3,2,3,1,1,0,3,5,4,Entrepreunariat,1.5,2,2
44,0,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,2,3,2,1,3,2,4,1,0,1,2,1,5,Marketing,1.5,1,3
35,1,9884,Marié(e),Consulting,Manager,2,10,4,0,3,2,3,1,3,3,3,1,0,1,3,11,2,Transformation Digitale,1.0,2,3
26,0,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,3,2,2,4,3,2,3,1,0,1,2,23,3,Marketing,1.5,0,0
33,0,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,1,3,3,4,3,3,3,1,0,0,1,1,2,Infra & Cloud,2.0,8,12
35,1,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,2,3,3,1,4,2,4,0,0,1,3,18,5,Infra & Cloud,2.0,1,8
35,0,4014,Marié(e),Consulting,Consultant,3,4,2,2,3,3,1,1,3,3,3,1,0,1,3,23,4,Transformation Digitale,1.5,2,2
31,1,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,4,3,2,4,4,2,4,0,0,1,3,7,4,Infra & Cloud,1.5,1,7
37,1,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,2,3,3,4,3,0,0,1,2,1,4,Infra & Cloud,1.5,0,7
32,1,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,2,4,2,3,4,1,0,1,3,1,3,Transformation Digitale,1.5,7,8
38,0,2406,Célibataire,Consulting,Consultant,1,10,10,3,4,3,2,4,4,3,3,0,0,0,2,29,5,Infra & Cloud,2.0,9,9
50,0,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,2,2,5,3,4,2,3,1,0,1,2,7,2,Transformation Digitale,1.5,13,8
59,0,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,1,3,3,1,4,2,3,0,0,0,3,25,3,Infra & Cloud,1.5,7,9
36,0,10096,Divorcé(e),Consulting,Manager,1,17,17,14,3,3,3,3,2,3,3,0,0,3,2,8,3,Entrepreunariat,1.5,12,8
55,0,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,4,3,4,3,3,3,3,1,0,3,2,8,3,Transformation Digitale,1.5,0,2
36,1,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,2,2,2,2,3,3,3,0,0,0,3,11,3,Infra & Cloud,2.0,0,3
45,1,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,2,3,3,1,3,3,3,0,0,1,2,7,3,Infra & Cloud,1.5,0,0
35,1,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,2,3,1,1,4,2,3,0,0,1,2,1,3,Transformation Digitale,2.0,1,2
36,1,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,4,2,1,3,1,2,3,1,1,1,0,9,3,Transformation Digitale,1.5,0,0
59,0,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,1,2,2,3,4,2,3,0,0,0,2,1,1,Infra & Cloud,2.0,1,3
29,1,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,3,3,1,2,4,3,4,0,0,1,3,2,3,Infra & Cloud,1.5,0,4
31,1,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,3,3,1,2,2,3,3,0,0,0,4,1,4,Transformation Digitale,1.5,1,0
32,1,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,2,2,2,3,3,0,0,2,3,1,3,Infra & Cloud,1.5,0,9
36,0,3038,Marié(e),Consulting,Consultant,3,5,1,0,2,4,1,4,2,3,3,0,0,0,3,6,3,Infra & Cloud,1.5,0,0
31,0,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,3,3,2,4,4,3,4,0,0,0,2,8,4,Infra & Cloud,1.5,1,8
35,1,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,3,2,2,1,2,3,3,0,0,0,2,1,4,Marketing,1.5,2,8
45,1,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,4,3,3,1,2,4,3,1,0,0,3,6,4,Autre,1.5,0,0
37,1,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,1,3,3,3,1,4,3,0,0,0,3,7,4,Transformation Digitale,1.5,0,2
46,1,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,2,3,2,2,4,3,4,1,0,1,2,5,2,Transformation Digitale,1.5,0,2
30,1,5126,Marié(e),Consulting,Consultant,1,10,10,8,4,2,2,4,3,2,3,1,0,2,1,1,1,Infra & Cloud,1.5,3,0
35,1,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,2,2,1,3,1,3,3,0,0,0,3,1,3,Transformation Digitale,1.5,0,4
55,1,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,3,3,4,4,3,3,0,0,1,4,1,2,Infra & Cloud,1.5,1,0
38,0,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,2,1,2,4,4,3,3,1,0,3,3,6,3,Transformation Digitale,1.0,1,9
34,1,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,1,3,2,2,3,3,3,0,0,0,2,1,2,Transformation Digitale,1.5,1,3
56,1,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,4,1,3,4,1,2,3,0,0,0,3,7,3,Infra & Cloud,1.5,0,2
23,1,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,3,3,1,1,3,3,3,0,0,1,3,2,1,Entrepreunariat,1.5,0,0
51,1,2075,Marié(e),Consulting,Consultant,3,10,4,2,4,3,1,4,2,3,4,0,0,2,4,9,4,Infra & Cloud,1.5,0,3
30,1,4152,Marié(e),Consulting,Manager,1,11,11,10,3,2,2,4,1,3,3,0,0,3,3,2,3,Infra & Cloud,1.5,10,8
46,1,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,3,2,3,4,4,3,3,0,1,0,3,9,2,Transformation Digitale,1.5,4,7
40,1,13503,Marié(e),Consulting,Manager,1,22,22,3,3,2,4,2,4,2,4,0,0,1,3,1,4,Infra & Cloud,2.0,11,11
51,1,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,3,3,2,4,4,1,4,1,0,0,2,21,4,Marketing,1.5,1,0
30,0,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,2,2,2,2,2,3,1,0,3,4,4,2,Transformation Digitale,1.5,2,7
46,1,10673,Marié(e),Consulting,Manager,2,21,10,9,3,2,3,1,3,2,3,1,0,1,5,1,3,Transformation Digitale,2.0,9,5
32,1,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,2,3,2,3,1,3,3,0,0,0,0,6,4,Transformation Digitale,1.5,5,7
54,0,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,3,3,3,1,1,3,0,0,1,5,2,4,Entrepreunariat,1.5,0,3
24,0,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,3,2,3,1,2,4,0,0,1,2,3,2,Autre,1.5,0,2
28,1,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,2,3,2,3,2,4,3,0,0,0,3,4,3,Transformation Digitale,1.0,0,4
58,1,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,4,3,4,3,3,2,3,0,0,0,1,10,4,Transformation Digitale,1.5,1,8
44,1,2042,Marié(e),Consulting,Consultant,4,17,3,2,2,3,2,2,3,4,3,0,0,1,3,23,3,Transformation Digitale,1.0,1,2
37,1,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,3,3,1,1,4,3,4,1,1,0,3,6,4,Ressources Humaines,1.5,0,2
32,1,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,4,3,1,1,4,3,3,0,0,0,2,1,1,Infra & Cloud,1.5,0,0
20,0,2926,Célibataire,Consulting,Consultant,1,1,1,0,4,2,1,4,2,3,3,1,1,0,5,6,3,Infra & Cloud,2.0,1,0
34,0,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,1,3,2,3,3,3,3,0,0,0,3,6,4,Autre,1.5,2,10
37,1,5163,Divorcé(e),Consulting,Manager,5,17,1,0,3,2,2,4,4,4,3,0,0,1,2,2,2,Infra & Cloud,1.0,0,0
59,0,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,3,2,5,4,4,3,4,0,0,1,3,2,4,Ressources Humaines,1.0,2,2
50,0,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,1,3,5,2,1,2,3,1,0,0,1,1,3,Infra & Cloud,2.0,0,7
25,1,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,3,2,2,3,4,3,3,1,1,0,1,5,3,Marketing,1.5,0,3
25,1,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,4,2,1,4,3,3,3,0,0,2,2,7,1,Transformation Digitale,1.5,2,1
22,0,2871,Célibataire,Consulting,Consultant,1,1,0,0,2,3,1,4,3,3,3,0,0,0,5,15,3,Transformation Digitale,1.5,0,0
51,0,7484,Célibataire,Consulting,Manager,3,23,13,12,1,2,3,1,3,2,4,0,0,0,1,1,4,Transformation Digitale,2.0,12,8
34,1,6074,Célibataire,Consulting,Consultant,1,9,9,7,1,1,2,3,4,3,4,1,1,0,3,7,3,Infra & Cloud,2.0,0,6
54,0,17328,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,4,4,4,4,3,3,3,1,0,0,3,26,3,Ressources Humaines,1.0,4,4
24,1,2774,Marié(e),Consulting,Consultant,0,6,5,3,2,3,1,3,3,3,3,0,0,1,2,18,1,Infra & Cloud,1.5,1,2
34,0,4505,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,3,2,2,2,3,3,3,0,0,1,3,6,4,Infra & Cloud,1.5,0,0
37,1,7428,Célibataire,Commercial,Cadre Commercial,2,12,5,3,3,3,3,4,1,3,3,0,0,0,3,3,3,Infra & Cloud,1.5,1,3
34,0,11631,Célibataire,Consulting,Senior Manager,2,14,11,10,3,2,3,1,4,3,3,0,0,0,6,5,3,Transformation Digitale,1.5,5,8
36,0,9738,Marié(e),Commercial,Cadre Commercial,0,10,9,7,2,3,3,4,3,3,3,0,0,1,6,11,2,Entrepreunariat,2.0,2,8
36,0,2835,Divorcé(e),Consulting,Consultant,5,7,1,0,1,3,1,4,1,3,4,0,0,1,2,3,2,Infra & Cloud,1.5,0,0
43,1,16959,Marié(e),Commercial,Senior Manager,1,25,25,12,3,3,4,4,4,4,3,1,0,2,3,26,2,Infra & Cloud,2.0,4,12
30,1,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,1,1,1,3,3,2,4,0,0,3,2,23,3,Infra & Cloud,2.0,0,9
33,1,6146,Marié(e),Commercial,Cadre Commercial,0,8,7,7,3,3,2,2,1,4,3,0,0,1,2,22,2,Marketing,1.0,0,7
56,0,4963,Marié(e),Consulting,Assistant de Direction,9,7,5,4,2,3,1,2,1,3,3,1,1,3,2,14,4,Infra & Cloud,1.5,4,3
51,1,19537,Célibataire,Consulting,Directeur Technique,7,23,20,18,1,3,5,3,3,3,3,0,0,0,5,6,3,Infra & Cloud,1.5,15,15
31,1,6172,Marié(e),Commercial,Cadre Commercial,4,12,7,7,2,1,2,3,2,2,3,1,1,0,3,6,4,Infra & Cloud,1.5,7,7
26,0,2368,Marié(e),Consulting,Assistant de Direction,1,5,5,4,3,2,1,2,3,2,3,0,0,0,3,6,3,Autre,1.5,4,3
58,0,10312,Marié(e),Consulting,Manager,1,40,40,10,4,3,3,4,4,2,3,0,1,1,3,23,4,Transformation Digitale,1.5,15,6
19,1,1675,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,3,1,3,4,2,3,1,1,0,2,22,1,Marketing,1.5,0,0
22,1,2523,Marié(e),Consulting,Consultant,0,3,2,1,3,3,1,4,3,3,3,0,0,1,2,2,1,Entrepreunariat,1.5,2,1
49,0,6567,Marié(e),Consulting,Tech Lead,1,16,15,11,3,3,2,1,3,2,3,0,0,0,2,20,4,Transformation Digitale,1.5,5,11
43,0,4739,Célibataire,Consulting,Assistant de Direction,4,18,3,2,2,4,1,3,4,3,3,0,0,0,2,28,3,Transformation Digitale,2.0,1,2
50,0,9208,Célibataire,Commercial,Cadre Commercial,4,16,2,2,3,3,3,4,4,3,3,0,0,0,3,12,3,Marketing,2.0,2,1
31,0,4559,Marié(e),Commercial,Cadre Commercial,3,4,2,2,2,1,2,3,3,3,3,1,1,1,2,20,3,Infra & Cloud,1.5,2,2
41,1,8189,Divorcé(e),Commercial,Cadre Commercial,3,12,9,7,3,3,3,3,3,3,3,1,0,1,2,9,1,Infra & Cloud,1.5,0,7
26,0,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,8,7,3,3,1,3,4,3,4,0,0,1,3,25,1,Infra & Cloud,1.5,5,7
36,1,4941,Divorcé(e),Consulting,Tech Lead,6,7,3,2,2,3,2,2,4,3,4,0,0,2,0,6,2,Transformation Digitale,1.5,0,1
51,1,10650,Célibataire,Consulting,Tech Lead,2,18,4,2,1,1,3,4,4,3,3,0,1,0,2,8,4,Infra & Cloud,2.0,0,3
39,0,5902,Marié(e),Commercial,Cadre Commercial,4,17,15,11,4,2,2,3,3,4,3,0,0,1,1,4,4,Infra & Cloud,1.5,5,9
25,1,8639,Marié(e),Commercial,Cadre Commercial,2,6,2,2,1,2,2,3,4,3,3,0,0,0,3,28,3,Infra & Cloud,1.5,2,2
30,1,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,12,11,9,3,3,2,4,4,1,3,1,0,0,2,9,3,Ressources Humaines,1.5,4,7
32,0,4200,Célibataire,Consulting,Consultant,7,10,5,4,1,3,1,1,1,4,4,0,1,0,2,9,3,Transformation Digitale,1.5,0,4
45,1,3452,Célibataire,Consulting,Assistant de Direction,5,9,6,5,3,3,1,4,2,2,3,0,0,0,2,29,3,Transformation Digitale,1.5,0,3
38,0,4317,Célibataire,Consulting,Assistant de Direction,3,19,3,2,4,3,2,3,2,3,4,1,0,0,2,3,5,Entrepreunariat,1.5,2,2
30,0,2632,Célibataire,Consulting,Assistant de Direction,1,5,5,4,1,3,1,3,3,2,3,0,0,0,4,18,3,Infra & Cloud,1.5,0,4
32,1,4668,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,4,1,2,4,4,4,3,0,0,3,2,9,2,Transformation Digitale,2.0,0,7
30,0,3204,Divorcé(e),Consulting,Assistant de Direction,5,8,3,2,4,3,1,1,4,3,3,0,0,1,3,5,3,Entrepreunariat,1.5,2,2
30,1,2720,Célibataire,Consulting,Consultant,0,6,5,3,2,2,1,4,4,3,3,0,0,0,3,2,1,Transformation Digitale,1.5,1,2
41,1,17181,Divorcé(e),Consulting,Senior Manager,4,21,7,6,4,2,4,1,2,2,3,0,0,1,2,10,3,Infra & Cloud,2.0,7,7
41,1,2238,Marié(e),Consulting,Consultant,2,7,5,0,3,3,1,1,4,3,4,0,0,1,2,9,4,Infra & Cloud,1.5,1,4
19,0,1483,Célibataire,Consulting,Consultant,1,1,1,0,2,3,1,2,4,3,3,0,0,0,3,3,1,Transformation Digitale,1.5,0,0
40,0,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,20,7,2,3,2,2,1,3,3,0,0,1,2,26,3,Transformation Digitale,2.0,2,13
35,1,7295,Marié(e),Commercial,Cadre Commercial,1,10,10,8,3,3,3,2,1,3,3,0,0,2,3,1,5,Marketing,1.5,0,6
53,1,2306,Marié(e),Commercial,Représentant Commercial,2,13,7,7,2,3,2,3,4,1,4,1,0,1,3,6,2,Marketing,1.5,4,5
45,1,2348,Divorcé(e),Consulting,Consultant,8,20,17,9,2,3,2,2,3,1,3,0,0,1,2,9,3,Infra & Cloud,1.5,0,15
32,0,8998,Célibataire,Commercial,Cadre Commercial,1,9,9,8,2,3,3,4,4,3,3,0,0,0,2,8,3,Marketing,2.0,3,7
29,1,4319,Marié(e),Consulting,Tech Lead,1,10,10,7,4,3,2,3,1,3,3,0,0,1,1,1,1,Entrepreunariat,1.0,0,9
51,1,6132,Marié(e),Consulting,Tech Lead,2,10,1,0,2,2,2,3,3,3,3,0,0,0,2,7,4,Transformation Digitale,1.5,0,0
58,0,3346,Marié(e),Consulting,Assistant de Direction,4,9,1,0,2,2,1,2,2,2,4,1,0,1,3,9,3,Transformation Digitale,1.5,0,0
40,1,10855,Marié(e),Commercial,Cadre Commercial,7,15,12,11,3,2,3,4,1,2,3,0,0,1,2,4,4,Marketing,1.5,2,11
34,0,2231,Marié(e),Commercial,Représentant Commercial,6,6,4,3,3,3,1,3,4,3,3,0,0,1,3,2,4,Marketing,2.0,1,2
22,1,2323,Marié(e),Consulting,Assistant de Direction,1,2,2,2,3,3,1,4,1,3,4,0,0,2,6,19,1,Transformation Digitale,1.5,2,2
27,1,2024,Divorcé(e),Consulting,Assistant de Direction,6,6,2,2,4,3,1,2,4,1,3,0,0,1,1,9,3,Transformation Digitale,1.0,2,2
28,1,2713,Marié(e),Consulting,Assistant de Direction,1,5,5,2,3,3,1,4,3,1,3,0,0,1,2,21,3,Transformation Digitale,1.5,0,2
57,1,9439,Divorcé(e),Consulting,Manager,3,12,5,3,3,4,3,4,2,1,3,1,0,1,2,24,2,Infra & Cloud,1.5,1,4
27,1,2566,Divorcé(e),Consulting,Assistant de Direction,1,1,1,1,3,2,1,3,4,2,3,1,0,1,2,3,3,Transformation Digitale,1.0,0,1
50,0,19926,Célibataire,Consulting,Senior Manager,3,21,5,4,3,3,5,2,2,3,3,0,0,0,5,11,3,Infra & Cloud,1.5,4,4
41,1,2451,Divorcé(e),Consulting,Assistant de Direction,4,13,9,8,1,3,1,3,1,3,3,0,0,1,2,14,3,Infra & Cloud,1.5,1,8
30,0,9419,Marié(e),Commercial,Cadre Commercial,2,12,10,9,2,3,3,4,3,3,3,0,0,1,2,5,3,Infra & Cloud,1.5,7,4
38,0,8686,Célibataire,Commercial,Cadre Commercial,4,12,8,3,1,2,2,4,3,4,4,0,0,0,2,1,4,Infra & Cloud,1.5,0,7
32,1,3038,Célibataire,Consulting,Assistant de Direction,3,8,5,4,3,3,1,3,1,3,4,0,0,0,2,6,5,Infra & Cloud,1.5,1,4
27,1,3058,Marié(e),Consulting,Assistant de Direction,0,6,5,2,3,3,1,2,4,2,3,1,0,1,3,17,3,Entrepreunariat,1.5,1,1
19,0,2325,Célibataire,Commercial,Représentant Commercial,0,1,0,0,3,1,1,1,1,4,4,0,1,0,5,1,1,Entrepreunariat,2.0,0,0
36,1,2088,Célibataire,Consulting,Consultant,4,13,8,7,4,3,1,2,3,2,3,0,0,0,3,3,2,Transformation Digitale,2.0,7,2
30,1,3072,Divorcé(e),Consulting,Consultant,1,12,12,9,3,3,2,1,3,3,3,0,0,2,4,9,3,Transformation Digitale,1.0,6,10
45,0,5006,Divorcé(e),Commercial,Cadre Commercial,4,9,5,4,3,3,2,1,1,4,3,1,0,1,3,4,2,Infra & Cloud,1.5,0,3
56,0,4257,Divorcé(e),Consulting,Assistant de Direction,4,19,2,2,3,3,1,1,3,3,3,1,0,1,3,8,3,Infra & Cloud,1.5,2,2
